=== MANUAL PATH SEQUENCES COMPARISON LOG (GRAPHS_NON_DAG) ===


Graph Size: 10 Nodes | File: graph_10.json
  -> Exact SPP Path:   [0, 7, 6, 4, 5, 2, 3, 9] (Cost: -22.17)
  -> Exact RCSPP Path: [0, 3, 9] (Cost: 5.78)
  [SPP] GA Run 00 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 12 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 13 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 14 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 15 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] PSO Run 16 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 17 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 18 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 19 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 20 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 21 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 22 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] PSO Run 23 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 24 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 25 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 26 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 27 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 28 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 29 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 30 | Feasible=True  | Cost=   -16.75 | Path: [0, 8, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 31 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 32 | Feasible=True  | Cost=   -16.75 | Path: [0, 8, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 33 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 34 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 35 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 36 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 37 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 38 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 39 | Feasible=True  | Cost=   -15.77 | Path: [0, 1, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 40 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 41 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 42 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 43 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 44 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 45 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] PSO Run 46 | Feasible=True  | Cost=   -22.17 | Path: [0, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 47 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 48 | Feasible=True  | Cost=   -16.75 | Path: [0, 8, 7, 6, 4, 5, 2, 3, 9]
  [SPP] PSO Run 49 | Feasible=True  | Cost=   -20.09 | Path: [0, 8, 6, 4, 5, 2, 3, 9]
  [RCSPP] PSO Run 00 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 01 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 02 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 03 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 04 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 05 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 06 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 07 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 08 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 09 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 10 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 11 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 12 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 13 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 14 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 15 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 16 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 17 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 18 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 19 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 20 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 21 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 22 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 23 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 24 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 25 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 26 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 27 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 28 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 29 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 30 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 31 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 32 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 33 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 34 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 35 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 36 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 37 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 38 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 39 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 40 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 41 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 42 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 43 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 44 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 45 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 46 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 47 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 48 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] PSO Run 49 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [SPP] SQA Run 00 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 01 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 02 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 03 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 04 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 05 | Feasible=True  | Cost=    11.12 | Path: [0, 7, 8, 9]
  [SPP] SQA Run 06 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 07 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 08 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 09 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 10 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 11 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 12 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 13 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 14 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 15 | Feasible=True  | Cost=    11.12 | Path: [0, 7, 8, 9]
  [SPP] SQA Run 16 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [SPP] SQA Run 17 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 18 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 19 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 20 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 21 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 22 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 23 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 24 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 25 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 26 | Feasible=True  | Cost=    10.66 | Path: [0, 5, 6, 8, 9]
  [SPP] SQA Run 27 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 28 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 29 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 30 | Feasible=True  | Cost=    16.04 | Path: [0, 1, 6, 9]
  [SPP] SQA Run 31 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 32 | Feasible=True  | Cost=    11.12 | Path: [0, 7, 8, 9]
  [SPP] SQA Run 33 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 34 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 35 | Feasible=True  | Cost=   -12.82 | Path: [0, 8, 2, 3, 9]
  [SPP] SQA Run 36 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 37 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 38 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 39 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 40 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 41 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 42 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 43 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 44 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 45 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 46 | Feasible=True  | Cost=   -12.66 | Path: [0, 8, 9]
  [SPP] SQA Run 47 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 48 | Feasible=False | Cost=      inf | Path: []
  [SPP] SQA Run 49 | Feasible=False | Cost=      inf | Path: []
  [RCSPP] SQA Run 00 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 01 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 02 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 03 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 04 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 05 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 06 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 07 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 08 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 09 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 10 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 11 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 12 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 13 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 14 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 15 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 16 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 17 | Feasible=True  | Cost=     5.78 | Path: [0, 3, 9]
  [RCSPP] SQA Run 18 | Feasible=True  | Cost=    11.12 | Path: [0, 7, 8, 9]
